,0
u,985
im,460
ltgt,276
dont,276
ok,273
ur,246
ill,242
know,232
got,232
like,231
come,227
good,224
love,190
time,189
day,188
you,172
me,171
going,167
want,164
home,160
lor,160
need,157
sorry,153
it,153
n,137
now,135
later,134
r,131
da,131
think,128
today,125
send,123
tell,121
cant,121
hi,117
oh,112
night,109
happy,106
hey,106
thats,102
d,102
way,100
great,100
hope,100
pls,98
work,97
wat,95
its,95
dear,94
right,89
ask,88
said,87
yeah,85
amp,84
didnt,83
tomorrow,80
phone,80
e,78
morning,77
cos,76
life,76
ive,75
lol,73
meet,72
miss,72
k,71
yes,71
sure,71
let,70
babe,69
pick,69
text,68
new,67
week,66
gud,64
number,64
care,63
buy,62
feel,62
went,61
thanks,61
c,60
thing,60
there,60
free,59
gonna,58
tonight,58
sent,58
wait,57
nice,57
sleep,56
soon,56
dun,55
late,55
ya,55
msg,54
place,54
b,54
wont,53
leave,53
wan,53
told,53
friends,53
money,53
youre,52
well,51
message,51
things,51
coming,50
wish,50
thk,50
find,50
haha,48
no,48
havent,47
people,47
v,47
thought,46
getting,46
hello,46
bit,45
fine,45
hows,45
try,45
lunch,45
man,44
year,44
that,44
smile,44
class,43
yup,43
meeting,43
person,43
reply,43
job,43
already,42
finish,42
having,42
stuff,42
long,42
y,42
x,41
better,41
cool,41
heart,40
talk,40
mind,39
dat,39
up,39
car,39
lar,38
eat,38
out,38
stop,37
do,37
here,37
best,37
use,36
yo,36
friend,36
help,36
waiting,36
birthday,35
jus,35
ready,35
big,35
problem,35
dinner,35
lot,35
house,35
liao,35
sweet,34
shit,34
check,34
watching,34
room,34
special,34
early,33
probably,33
watch,33
sir,33
aight,33
hes,33
guys,33
whats,33
luv,32
god,32
plan,32
called,32
too,32
world,32
actually,32
pa,32
princess,32
den,32
bed,32
forgot,31
dunno,31
id,31
remember,31
pay,31
again,31
guess,31
kiss,31
thanx,31
hour,30
start,30
bad,30
boy,30
left,30
ah,30
enjoy,29
shall,29
leh,29
girl,29
hear,29
maybe,29
bus,29
shes,29
working,29
face,29
look,28
wanna,28
fuck,28
trying,28
yet,28
then,28
dad,28
baby,28
back,28
tmr,28
dis,28
month,28
